row_index,point_id,service_name,native_topic,native_class,reason
6,8168,Telegram,User Choice,good,empty_point_quote_text
41,16746,RiseUp.net,Anonymity,good,empty_point_quote_text
157,2463,Credit Karma,Trackers,bad,empty_point_quote_text
171,4434,Credit Karma,Transparency,good,empty_point_quote_text
212,6411,Airbnb,Right to Leave The Service,blocker,empty_point_quote_text
320,19963,Apple Services,Personal Data,bad,empty_point_quote_text
401,25345,Le Soir,User Choice,good,empty_point_quote_text
402,25330,Le Soir,Trackers,bad,empty_point_quote_text
403,25331,Le Soir,Trackers,bad,empty_point_quote_text
404,25334,Le Soir,Trackers,bad,empty_point_quote_text
405,25332,Le Soir,Trackers,neutral,empty_point_quote_text
406,25333,Le Soir,Personal Data,bad,empty_point_quote_text
407,25335,Le Soir,Personal Data,neutral,empty_point_quote_text
408,25344,Le Soir,User Choice,good,empty_point_quote_text
409,25350,Le Soir,Types of Information Collected,neutral,empty_point_quote_text
410,25346,Le Soir,Right to Leave The Service,good,empty_point_quote_text
411,25336,Le Soir,Advertising,bad,empty_point_quote_text
412,25341,Le Soir,Third Parties,bad,empty_point_quote_text
413,25343,Le Soir,User Choice,good,empty_point_quote_text
414,25337,Le Soir,Advertising,bad,empty_point_quote_text
415,25338,Le Soir,Advertising,bad,empty_point_quote_text
416,25339,Le Soir,Third Parties,bad,empty_point_quote_text
417,25340,Le Soir,Third Parties,bad,empty_point_quote_text
418,25352,Le Soir,Payments,bad,empty_point_quote_text
419,25358,Le Soir,Trackers,bad,empty_point_quote_text
420,25347,Le Soir,Notice of Changing Terms,neutral,empty_point_quote_text
421,25355,Le Soir,Payments,neutral,empty_point_quote_text
422,25357,Le Soir,Changes,neutral,empty_point_quote_text
423,25342,Le Soir,Jurisdiction and governing laws,good,empty_point_quote_text
424,25348,Le Soir,Transparency,good,empty_point_quote_text
425,25349,Le Soir,Transparency,good,empty_point_quote_text
426,25351,Le Soir,Jurisdiction and governing laws,good,empty_point_quote_text
427,25329,Le Soir,Trackers,bad,empty_point_quote_text
428,25359,Le Soir,Personal Data,bad,empty_point_quote_text
497,573,SeenThis,User Choice,good,empty_point_quote_text
520,29208,CollegeBoard,Dispute Resolution,bad,empty_point_quote_text
585,1082,Spotify,Transparency,neutral,empty_point_quote_text
735,8190,Ali Reza Hayati's Personal Page,Law and Government Requests,good,empty_point_quote_text
736,8191,Ali Reza Hayati's Personal Page,Governance,neutral,empty_point_quote_text
737,8192,Ali Reza Hayati's Personal Page,Transparency,good,empty_point_quote_text
738,8193,Ali Reza Hayati's Personal Page,Notice of Changing Terms,neutral,empty_point_quote_text
739,8194,Ali Reza Hayati's Personal Page,Right to Leave The Service,good,empty_point_quote_text
740,8195,Ali Reza Hayati's Personal Page,Logs,good,empty_point_quote_text
747,20010,Feedbin,Transparency,good,empty_point_quote_text
821,9381,Moscow information cluster,Third Parties,bad,empty_point_quote_text
822,9382,Moscow information cluster,Personal Data,bad,empty_point_quote_text
823,9389,Moscow information cluster,Advertising,bad,empty_point_quote_text
824,9380,Moscow information cluster,Personal Data,bad,empty_point_quote_text
958,5190,Nexon,Transparency,good,empty_point_quote_text
969,28979,Betty Crocker,Advertising,bad,empty_point_quote_text
1007,4659,Open Book Publishers,Transparency,good,empty_point_quote_text
1035,10211,Fandango,Personal Data,bad,empty_point_quote_text
1118,17823,Marco Polo,Trackers,good,empty_point_quote_text
1297,9834,3DHYPE,Anonymity,good,empty_point_quote_text
1376,22262,Rofkin,Governance,neutral,empty_point_quote_text
1377,22263,Rofkin,Governance,neutral,empty_point_quote_text
1378,22268,Rofkin,Security,neutral,empty_point_quote_text
1379,22266,Rofkin,Governance,neutral,empty_point_quote_text
1380,22267,Rofkin,Anonymity,good,empty_point_quote_text
1381,22265,Rofkin,Content,neutral,empty_point_quote_text
1382,22269,Rofkin,Security,neutral,empty_point_quote_text
1383,22271,Rofkin,Payments,neutral,empty_point_quote_text
1384,22272,Rofkin,Right to Leave The Service,good,empty_point_quote_text
1385,22273,Rofkin,Suspension and Censorship,neutral,empty_point_quote_text
1386,22274,Rofkin,Suspension and Censorship,neutral,empty_point_quote_text
1387,22275,Rofkin,Governance,bad,empty_point_quote_text
1388,22276,Rofkin,Ownership,good,empty_point_quote_text
1389,22277,Rofkin,Copyright License,good,empty_point_quote_text
1390,22278,Rofkin,Copyright License,neutral,empty_point_quote_text
1391,22280,Rofkin,Copyright License,neutral,empty_point_quote_text
1392,22281,Rofkin,Governance,neutral,empty_point_quote_text
1393,22282,Rofkin,Governance,bad,empty_point_quote_text
1394,22283,Rofkin,Jurisdiction and governing laws,bad,empty_point_quote_text
1395,22270,Rofkin,Payments,good,empty_point_quote_text
1396,22284,Rofkin,Dispute Resolution,good,empty_point_quote_text
1397,22285,Rofkin,Personal Data,good,empty_point_quote_text
1398,22286,Rofkin,Third Parties,bad,empty_point_quote_text
1399,22287,Rofkin,Third Parties,good,empty_point_quote_text
1400,22288,Rofkin,Law and Government Requests,good,empty_point_quote_text
1401,22289,Rofkin,Law and Government Requests,good,empty_point_quote_text
1402,22290,Rofkin,Business Transfers,good,empty_point_quote_text
1403,22293,Rofkin,Trackers,neutral,empty_point_quote_text
1404,22291,Rofkin,Trackers,bad,empty_point_quote_text
1405,22264,Rofkin,Content,neutral,empty_point_quote_text
1406,22279,Rofkin,Governance,neutral,empty_point_quote_text
1407,22376,Rofkin,Suspension and Censorship,neutral,empty_point_quote_text
1453,30721,Talking Tom and Friends,Trackers,neutral,empty_point_quote_text
1454,30722,Talking Tom and Friends,Trackers,bad,empty_point_quote_text
1455,30720,Talking Tom and Friends,Trackers,bad,empty_point_quote_text
1483,31149,TCRF | The Cutting Room Floor,Third Parties,good,empty_point_quote_text
1568,28562,VRchat,Advertising,bad,empty_point_quote_text
1569,26741,VRchat,Copyright License,neutral,empty_point_quote_text
1570,28667,VRchat,Copyright License,neutral,empty_point_quote_text
1571,28561,VRchat,Transparency,good,empty_point_quote_text
1572,28563,VRchat,Advertising,bad,empty_point_quote_text
1573,28559,VRchat,Transparency,neutral,empty_point_quote_text
1574,28564,VRchat,Content,neutral,empty_point_quote_text
1575,29928,VRchat,Content,neutral,empty_point_quote_text
1576,29929,VRchat,Suspension and Censorship,bad,empty_point_quote_text
1577,31760,VRchat,Security,neutral,empty_point_quote_text
1578,31763,VRchat,Types of Information Collected,neutral,empty_point_quote_text
1579,31759,VRchat,Trackers,bad,empty_point_quote_text
1580,31761,VRchat,Trackers,bad,empty_point_quote_text
1581,31762,VRchat,Suspension and Censorship,blocker,empty_point_quote_text
1582,31758,VRchat,Ownership,good,empty_point_quote_text
1583,31757,VRchat,Personal Data,bad,empty_point_quote_text
1602,20136,Wikimedia,Law and Government Requests,good,empty_point_quote_text
1707,8959,LauraKalbag,Trackers,good,empty_point_quote_text
1738,19194,El Mundo (Spain),Trackers,bad,empty_point_quote_text
1739,19193,El Mundo (Spain),Trackers,bad,empty_point_quote_text
1740,19192,El Mundo (Spain),Trackers,neutral,empty_point_quote_text
2153,4745,SpigotMC,Changes,neutral,empty_point_quote_text
2157,4442,SpigotMC,Transparency,good,empty_point_quote_text
2160,4741,SpigotMC,Transparency,good,empty_point_quote_text
2161,4744,SpigotMC,User Involvement in Changing Terms,good,empty_point_quote_text
2165,4743,SpigotMC,User Choice,good,empty_point_quote_text
2336,26263,Icedrive,Security,good,empty_point_quote_text
2340,28385,Icedrive,Content,good,empty_point_quote_text
2356,27811,SCP Wiki,Transparency,good,empty_point_quote_text
2412,25019,Binance,Suspension and Censorship,bad,empty_point_quote_text
2686,1504,eBay,Personal Data,bad,empty_point_quote_text
2773,20519,Duolingo,Transparency,neutral,empty_point_quote_text
2828,27405,Yewtu.be,Transparency,good,empty_point_quote_text
2849,31927,CounterMail,Transparency,good,empty_point_quote_text
2952,33750,mail.ch,Anonymity,bad,empty_point_quote_text
3064,22137,APK Pure,Content,bad,empty_point_quote_text
3065,22136,APK Pure,Third Parties,neutral,empty_point_quote_text
3066,22135,APK Pure,Changes,neutral,empty_point_quote_text
3067,22710,APK Pure,Changes,neutral,empty_point_quote_text
3068,22138,APK Pure,Governance,neutral,empty_point_quote_text
3069,22139,APK Pure,Governance,neutral,empty_point_quote_text
3070,22698,APK Pure,Advertising,bad,empty_point_quote_text
